#Table1
objID,specObjID,ra,dec,u,g,r,i,z,redshift,class
1237648704046759994,4508209144264939520,198.356363205279,-0.328044454079916,25.28078,21.70171,20.1548,19.37002,18.84982,0.4112722,GALAXY
1237648704046760145,332185036042299392,198.367593989871,-0.356065359997624,20.73523,18.85085,17.56961,17.08212,16.70905,0.2118236,GALAXY
1237648704046760198,332189708966717440,198.428206426225,-0.384405699717528,18.44623,17.23412,16.67523,16.29652,16.07245,0.09444475,GALAXY
1237648704046760240,4508210518654474240,198.3684198634,-0.345940334394305,24.48734,20.77408,19.16367,18.45882,17.92051,0.4472921,GALAXY
1237648704046825622,332188609455089664,198.462136290129,-0.219281374332782,19.30241,17.78075,16.90307,16.49114,16.18247,0.121077,GALAXY
1237648704046825624,332186685309741056,198.46612369839,-0.254391306820965,20.16626,18.28559,17.22367,16.79652,16.4039,0.1380548,GALAXY
1237648704046825654,332188884332996608,198.493224301194,-0.256808281530558,19.09543,17.3131,16.35899,15.97224,15.63603,0.1387181,GALAXY
1237648704046825668,332188334577182720,198.501136705786,-0.350657819923791,19.93487,17.91528,16.87629,16.43629,16.0476,0.1209111,GALAXY
1237648704046825700,332185585798113280,198.539701935451,-0.323054550927343,20.59683,18.82568,17.65636,17.23815,16.86611,0.1769913,GALAXY
1237648704046825863,4508210793532381184,198.45893986354,-0.238214723538922,24.3178,22.96045,21.02369,19.85194,19.47017,0.5798163,GALAXY
1237648704046825961,4508209694020753408,198.43824020816,-0.309829241616991,23.28441,22.47034,20.99129,19.8564,19.26842,0.7291693,GALAXY
1237648704046826090,4508211343288195072,198.476240490208,-0.224533333821997,25.59344,22.30646,20.71465,19.64594,19.04139,0.5818941,GALAXY
1237648704046826198,4508198424026568704,198.503525538936,-0.300281610673338,22.24945,21.04514,19.31844,18.61935,18.13679,0.2905678,GALAXY
1237648704046826277,4508198973782382592,198.534130582141,-0.279814808170254,23.00413,21.52751,20.16235,19.8836,19.75031,0.3792917,GALAXY
1237648704046826329,4508197324514940928,198.54984400344,-0.384435303729621,25.69549,21.76404,19.67524,19.09819,18.87691,0.3434319,GALAXY
1237648704046891215,4508199523538196480,198.602636572189,-0.411987012204172,24.36051,20.81606,19.05205,18.4565,18.05073,0.3452975,GALAXY
1237648704046891947,4508187703788197888,198.719651726205,-0.260685020858774,25.46978,22.81715,21.08868,19.76142,19.2063,0.723547,GALAXY
1237648704046956838,4508186879154477056,198.777823174559,-0.372062178477098,21.7523,21.3943,20.6237,19.75703,19.34876,0.7274925,GALAXY
1237648704046957085,4508186329398663168,198.788899027695,-0.306427718404765,21.42489,21.14681,20.43257,19.71716,19.84984,0.576797,GALAXY
1237648704047022274,4508178083061454848,198.891864618499,-0.215763775104502,23.26737,20.88208,18.98859,18.41009,17.91836,0.3614293,GALAXY
1237648704047022305,4508175334282385408,198.96852236598,-0.390843557776199,21.77014,19.89799,18.27554,17.71179,17.30638,0.3699,GALAXY
1237648704047022453,4508175059404478464,198.889650414265,-0.328991154037517,24.08312,21.834,20.79889,19.93916,19.84204,0.6299421,GALAXY
1237648704047022465,4508176708671920128,198.890428683715,-0.369597776813932,23.88055,21.83024,20.10216,19.11048,18.61614,0.5130792,GALAXY
1237648704047022540,4508175609160292352,198.917854905641,-0.401677272136971,24.78805,21.60934,20.07628,19.27146,18.91081,0.5108927,GALAXY
1237648704047022900,4508189353055639552,198.885413009844,-0.249282327066083,25.92868,22.75267,20.83948,19.6215,19.01197,0.6283429,GALAXY
1237648704047087753,332161121664395264,199.178681772321,-0.369682111058061,19.95724,18.16895,17.30886,16.92909,16.62785,0.08260613,GALAXY
1237648704047088004,332162221176023040,199.068291339534,-0.228436395816641,20.85253,20.84742,19.93002,19.66898,19.06771,0.6854169,GALAXY
1237648704047088060,4508165163799828480,199.091693994964,-0.262164930670558,25.42322,22.30087,20.83148,19.81656,19.35838,0.5897763,GALAXY
1237648704047088128,4508164614044014592,199.118416053896,-0.253929423574134,24.59128,22.55594,21.05958,19.95276,19.44622,0.5920579,GALAXY
1237648704047218842,332147377769048064,199.428705227942,-0.312394783671878,20.61439,18.9488,17.6586,17.20246,16.82055,0.2018722,GALAXY
